0.7598	0	-0.07598	2.485
0.7598	0	-0.07598	2.085
0.7598	-1.4632	-0.07598	1.87476
0.7591	-1.4632	-0.07591	2.0022
0.755	-1.4632	-0.0755	1.88042
0.7446	-1.4614	-0.07446	1.67909
0.6963	-1.4512	-0.06963	1.12488
0.6509	-1.4252	-0.06509	0.92987
0.5941	-1.3044	-0.05941	0.610092
0.5708	-1.1909	-0.05708	0.361892
0.5205	-1.0489	-0.05205	0.22906
0.4346	-0.9907	-0.04346	0.175176
0.3432	-0.8649	-0.03432	0.127204
0.2142	-0.6502	-0.02142	0.17349
0.1153	-0.4217	-0.01153	0.134524
-0.1013	-0.0992	0.01013	0.178528
-0.2376	0.1481	0.02376	0.183162
-0.3799	0.6896	0.03799	0.175044
-0.4445	1.0303	0.04445	0.125702
-0.3929	1.3861	0.03929	0.171756
-0.2764	1.5476	0.02764	0.139068
-0.1274	1.4186	0.01274	0.185182
0.0436	1.1273	-0.00436	0.187326
0.1708	0.7548	-0.01708	0.18029
0.3374	0.3273	-0.03374	0.173866
0.5067	0.0093	-0.05067	0.170182
0.623	-0.4072	-0.0623	0.126828
0.8354	-0.8304	-0.08354	0.132018
0.987	-1.1212	-0.0987	0.144308
1.1355	-1.6522	-0.11355	0.20082
1.2994	-2.0312	-0.12994	0.152358
1.3929	-2.4024	-0.13929	0.147746
1.4187	-2.8122	-0.14187	0.196366
1.3726	-3.0459	-0.13726	0.195386
1.2183	-3.1104	-0.12183	0.179358
1.021	-2.9952	-0.1021	0.128824
0.6841	-2.6094	-0.06841	0.131288
0.4258	-2.1162	-0.04258	0.183038
0.082	-1.2739	-0.0082	0.141398
-0.267	-0.6282	0.0267	0.14129
-0.5634	0.2313	0.05634	0.148854
-0.8601	1.1038	0.08601	0.202302
-1.0907	1.8448	0.10907	0.199054
-1.271	2.5866	0.1271	0.138932
-1.3486	3.1631	0.13486	0.139658
-1.3616	3.6138	0.13616	0.192636
-1.3027	3.8078	0.13027	0.191416
-1.1909	3.8403	0.11909	0.138566
-0.9581	3.6931	0.09581	0.137726
-0.7813	3.4136	0.07813	0.186496
-0.5349	2.8316	0.05349	0.18487
-0.2223	2.3896	0.02223	0.17801
0.1245	1.7736	-0.01245	0.173724
0.5779	0.9921	-0.05779	0.170484
1.2235	0.1251	-0.12235	0.168518
1.8042	-1.0084	-0.18042	0.124548
2.3223	-2.6224	-0.23223	0.177982
2.5882	-4.0742	-0.25882	0.183654
2.8356	-5.3694	-0.28356	0.180662
2.9664	-6.0342	-0.29664	0.131026
3.002	-6.6527	-0.3002	0.13698
2.8884	-6.9797	-0.28884	0.194262
2.5635	-7.0687	-0.25635	0.149416
2.31	-6.7847	-0.231	0.191538
1.8485	-5.9724	-0.18485	0.189652
1.5022	-5.3387	-0.15022	0.179444
0.8889	-4.1849	-0.08889	0.170182
0.1222	-3.3192	-0.01222	0.122406
-0.4496	-1.7859	0.04496	0.171542
-1.2161	0.1308	0.12161	0.182226
-1.6513	1.5603	0.16513	0.13371
-2.0596	3.4766	0.20596	0.186862
-2.5289	4.5646	0.25289	0.142322
-2.9204	5.5853	0.29204	0.195016
-3.3193	6.7586	0.33193	0.151056
-3.4559	7.7373	0.34559	0.20035
-3.4442	8.7346	0.34442	0.1506
-3.3285	9.0761	0.33285	0.19231
-2.973	9.0468	0.2973	0.189096
-2.5605	8.7576	0.25605	0.13761
-1.8375	7.8688	0.18375	0.133424
-1.1043	6.8376	0.11043	0.140016
-0.1107	5.0301	0.01107	0.146758
0.9631	3.1971	-0.09631	0.153286
2.0657	0.7131	-0.20657	0.158494
3.6031	-1.9714	-0.36031	0.219978
3.9821	-4.7279	-0.39821	0.225006
4.7756	-8.5714	-0.47756	0.278578
5.4719	-9.5189	-0.54719	0.320892
5.8334	-11.5027	-0.58334	0.376984
6.2072	-13.2434	-0.62072	0.346796
6.3503	-14.1472	-0.63503	0.442766
6.2626	-15.0817	-0.62626	0.313274
6.0906	-15.4394	-0.60906	0.272256
5.7897	-15.2202	-0.57897	0.46166
